run,ebeam,target,hms_p,hms_th,shms_p,shms_th,run_type,x,Q2,z,thpq,BCM1_Q,BCM1_I,BCM2_Q,BCM2_I,BCM4A_Q,BCM4A_I,BCM4B_Q,BCM4B_I,BCM4C_Q,BCM4C_I,h_esing_Eff,h_hadron_Eff,p_esing_Eff,p_hadron_Eff,ps1,ps2,ps3,ps4,ps5,ps6,comp_livetime,electr_deadtime,coin,randoms,ransubcoin,normyield,normyield_err,ctmean,ctsigma,boil_corr,IHWP,coinblock_ratio,BCM2_Q_hp,BCM2_Q_hm,h_EL_CLEAN,p_EL_CLEAN
27124,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,51.489,27.381,51.317,27.29,45.32,24.101,280.037,148.921,70.655,37.574,0.9979,0.9972,0.9841,0.9767,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99992,0.0438,1268.0,437.538,830.462,16.6669,0.724076,51.3947,0.443134,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1477661.0,513117603.0
27125,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,43.855,27.663,43.66,27.54,38.67,24.393,238.036,150.149,60.299,38.036,0.9983,0.9971,0.9853,0.9759,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99993,0.0438,1107.0,386.692,720.308,16.9986,0.795658,51.4037,0.443728,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1259229.0,436716971.0
27126,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,20.469,27.956,20.369,27.82,18.068,24.678,110.809,151.344,28.168,38.471,0.9983,0.9966,0.9831,0.9742,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.9999,0.044,506.0,176.462,329.538,16.6983,1.15502,51.3687,0.416803,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,587758.0,203692243.0
27127,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,73.935,27.717,73.613,27.596,65.085,24.399,401.932,150.678,101.331,37.987,0.998,0.9968,0.9834,0.9751,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.9999,0.0438,1955.0,645.308,1309.69,18.3519,0.627378,51.3904,0.431992,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,2123491.0,736127166.0
27128,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,16.624,27.519,16.56,27.414,14.533,24.058,90.398,149.646,22.607,37.424,0.9982,0.9976,0.9838,0.9745,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99994,0.0439,435.0,145.154,289.846,18.062,1.31628,51.4217,0.481992,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,477221.0,165638125.0
27129,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,84.539,27.891,84.236,27.791,74.217,24.486,459.46,151.586,115.735,38.183,0.9978,0.9973,0.9834,0.9746,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99991,0.044,2169.0,739.846,1429.15,17.5129,0.57814,51.4038,0.431815,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,2427371.0,843075106.0
27130,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,50.39,27.904,50.154,27.773,44.412,24.593,273.344,151.366,69.264,38.355,0.9979,0.9967,0.9838,0.9742,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99991,0.044,1261.0,433.462,827.538,17.0367,0.740665,51.2717,0.412867,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1446346.0,502199020.0
27131,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,52.776,28.031,52.533,27.902,46.516,24.706,286.113,151.964,72.497,38.506,0.998,0.9974,0.9823,0.9744,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99988,0.0439,1289.0,459.692,829.308,16.2355,0.71245,51.2678,0.425328,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1515696.0,525994843.0
27132,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,7.83,28.075,7.795,27.952,6.87,24.635,42.485,152.34,10.694,38.346,0.9976,0.9973,0.9719,0.9614,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.99533,0.044,174.0,69.9231,104.077,13.9865,1.79986,51.2461,0.359734,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,224429.0,78018352.0
27133,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,34.861,27.556,34.716,27.442,30.512,24.118,188.857,149.284,47.491,37.54,0.9998,0.999,0.9709,0.9619,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.9954,0.044,926.0,315.538,610.462,18.3691,0.927584,51.336,0.451181,1.0,-999,-999,17047.60057,17035.70043,1001708.0,347428667.0
