!-------------------------------------------------------------------------------------------------------------------------------------------------------------
!**********************HMS NMR not locking from this point on!! Setting by current. Buyer beware!***************************************************************
!**********************BELOW:SHMS calorimeter crate was in a weird state so will require different parameters when replaying:BELOW**********************************************
!**********************ABOVE:SHMS calorimeter crate was in a weird state so will require different parameters when replaying:ABOVE**********************************************
!****** Changed SHMS polarity for pi+**********************
!*****Starting z=0.5 (pi+ setting)*******************
!**********Start positron background measurements****************************
!** Done with positrons. Starting z=0.5, theta_pq=5.2 degrees, pi+ production
!***** switch to pi-
!24186	  07/25	     08:20	  8.565	10     LD2	-1.531	29.05	+6.538	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS	Starting pi+ running (z=0.9)
24228	  07/26	     07:40	  8.565	50     LH2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS	0
24229	  07/26	     08:14	  8.565	33     LH2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS	0
24230	  07/26	     08:46	  8.565	17     LH2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS	0
24232	  07/26	     09:47	  8.565	40     Dummy	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24233	  07/26	     10:14	  8.565	40     Dummy	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24234	  07/26	     10:40	  8.565	40     Dummy	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24236	  07/26	     11:48	  8.565	50     Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24237	  07/26	     12:20	  8.565	50     Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24238	  07/26	     12:50	  8.565	50     Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24239	  07/26	     13:35	  8.565	50     Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24240	  07/26	     14:09	  8.565	50     Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24241	  07/26	     14:41	  8.565	25     Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24243	  07/26	     15:38	  8.565	45     Copper	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24244	  07/26	     16:09	  8.565	50     Copper	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24245	  07/26	     16:41	  8.565	50     Copper	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24246	  07/26	     17:11	  8.565	50     Copper	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24247	  07/26	     17:43	  8.565	50     Copper	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24248	  07/26	     18:14	  8.565	50     Copper	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24250	  07/26	     19:15	  8.565	35     LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24251	  07/26	     19:46	  8.565	35     LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
