!-------------------------------------------------------------------------------------------------------------------------------------------------------------
!**********************HMS NMR not locking from this point on!! Setting by current. Buyer beware!***************************************************************
!**********************BELOW:SHMS calorimeter crate was in a weird state so will require different parameters when replaying:BELOW**********************************************
!**********************ABOVE:SHMS calorimeter crate was in a weird state so will require different parameters when replaying:ABOVE**********************************************
!****** Changed SHMS polarity for pi+**********************
!*****Starting z=0.5 (pi+ setting)*******************
!**********Start positron background measurements****************************
!** Done with positrons. Starting z=0.5, theta_pq=5.2 degrees, pi+ production
!***** switch to pi-
23902     07/18      15:10        8.565	20     Dummy	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
23903     07/18      15:43        8.565	20     Dummy	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
23904     07/18      16:45        8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	SHMS FADC lookback window adjusted, SHMS S2Y15- back 
23905     07/18      17:17        8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0                
23906     07/18      17:48        8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0                
23907     07/18      18:18        8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0                
23908     07/18      18:49        8.565	10     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0                
23942	  07/19	     04:52	  8.565	10     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23943	  07/19	     05:25	  8.565	10     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23944	  07/19	     05:39	  8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23945	  07/19	     06:10	  8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23946	  07/19	     06:41	  8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23947	  07/19	     07:13	  8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23948	  07/19	     08:07	  8.565	20     Dummy	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23949	  07/19	     08:46	  8.565	10     Dummy	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23950	  07/19	     09:15	  8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23951	  07/19	     09:49	  8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23952	  07/19	     10:26	  8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23953	  07/19	     10:59	  8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23954	  07/19	     11:31	  8.565	10     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23955	  07/19	     12:13	  8.565	20     Dummy	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23956	  07/19	     12:45	  8.565	10     Dummy	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0	     
23957	  07/19	     13:47	  8.565	32     LH2	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23960	  07/19	     15:24	  8.565	32     LH2	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23961	  07/19	     15:56	  8.565	20     LH2	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23962	  07/19	     16:13	  8.565	10     LH2	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23964	  07/19	     17:15	  8.565	20     LD2	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23965	  07/19	     17:47	  8.565	20     LD2	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23966	  07/19	     18:19	  8.565	20     LD2	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23967	  07/19	     19:06	  8.565	40     Dummy	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23969	  07/19	     20:09	  8.565	30     Carbon	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23970	  07/19	     20:41	  8.565	30     Carbon	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23972	  07/19	     21:33	  8.565	30     Copper	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23973	  07/19	     22:07	  8.565	30     Copper	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23974	  07/19	     23:09	  8.565	30     Copper	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23975	  07/19	     23:41	  8.565	15     Copper	-1.531	29.06	-6.53	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23977	  07/20	     01:22	  8.565	32     LH2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23979	  07/20	     01:59	  8.565	32     LH2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23980	  07/20	     02:49	  8.565	19     LD2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23981	  07/20	     03:36	  8.565	40     Dummy	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23982	  07/20	     04:19	  8.565	30     Carbon	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23983	  07/20	     05:31	  8.565	30     Carbon	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23984	  07/20	     06:13	  8.565	30     Copper	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23985	  07/20	     07:01	  8.565	32     LH2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23986	  07/20	     07:33	  8.565	32     LH2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23987	  07/20	     08:07	  8.565	32     LH2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23988	  07/20	     08:39	  8.565	32     LH2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23989	  07/20	     09:37	  8.565	40     LH2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23990	  07/20	     10:11	  8.565	20     LH2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23991	  07/20	     10:45	  8.565	10     LH2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23992	  07/20	     11:22	  8.565	20     LD2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23993	  07/20	     11:57	  8.565	20     LD2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23994	  07/20	     12:31	  8.565	20     LD2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23995	  07/20	     13:11	  8.565	20     LD2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23996	  07/20	     13:40	  8.565	14     LD2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23998	  07/20	     14:15	  8.565	10     LD2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
23999	  07/20	     14:55	  8.565	40     Dummy	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
24001	  07/20	     15:36	  8.565	35     Carbon	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
24002	  07/20	     16:07	  8.565	35     Carbon	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
