! RSIDIS (6/15/2025-)  Runs in numerical order
! Run types:
! HOLE = carbon hole checks
! OPTICS = optics runs with sieve slit or other
! HEEP = coincidence elastic (both arms used)
! HEE = single arm elastic
! HMSDIS = inclusive electrons in HMS
! SHMSDIS = inclusive electrons in SHMS
! PI-SIDIS = pi- SIDIS H/D/A(e,e'pi-)X
! PI+SIDIS = pi+ SIDIS H/D/A(e,epi+)X
!
! Run#    Date       Start_Time   Ebeam I-beam Target   HMS_p   HMS_th  SHMS_p  SHMS_th PS1,2,3,4,5,6		Run_type	Comment
!-------------------------------------------------------------------------------------------------------------------------------------------------------------
!23870    07/17      0	  	  0	0      0	0	0	0	0	0			JUNK		0
!23871    07/17      0	  	  0	0      0	0	0	0	0	0			JUNK		0
!23872    07/17      0	  	  0	0      0	0	0	0	0	0			JUNK		0
!23873    07/17      0	  	  0	0      0	0	0	0	0	0			JUNK		0
!23874    07/17      0	  	  0	0      0	0	0	0	0	0			JUNK		0
!23875    07/17      0	  	  0     0      0	0	0	0	0	0			JUNK		0
!**********************BELOW:SHMS calorimeter crate was in a weird state so will require different parameters when replaying:BELOW**********************************************
23876     07/17      22:59        8.565	15     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	First run with cointime centered in window, SHMS S2Y15- missing
!23877    07/17      0	  	  0     0      0	0	0	0	0	0			JUNK		0
23878     07/17      23:53        8.565	7      LD2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	10uA->7uA to get good triger rate(At 7 uA, s1X =0.95 MHz and PTRIG1 = 690 KHz), SHMS S2Y15- missing
23879     07/18      00:48        8.565	15     Dummy	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	SHMS S2Y15- missing
23880     07/18      01:31        8.565	15     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,0,-1	PI-SIDIS	SHMS S2Y15- missing
23881     07/18      02:06        8.565	14     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	SHMS S2Y15- missing
23882     07/18      02:39        8.565	14     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	SHMS S2Y15- missing
23883     07/18      03:12        8.565	14     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
23884     07/18      03:43        8.565	14     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
23885     07/18      04:16        8.565	7      LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing	
23886     07/18      04:56        8.565	7      LD2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
23887     07/18      05:29        8.565	7      LD2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
23888     07/18      06:00        8.565	7      LD2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
23889     07/18      06:36        8.565	7      LD2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
23890     07/18      07:18        8.565	15     Dummy	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0 	PI-SIDIS        SHMS S2Y15- missing
23891     07/18      07:51        8.565	8      Dummy	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
23892     07/18      08:59        8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
23893     07/18      09:33        8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
23894     07/18      10:09        8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
23895     07/18      10:44        8.565	20     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
23896     07/18      11:23        8.565	10     LH2	-1.531	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS        SHMS S2Y15- missing
