#	RSIDIS (6/15/2025-)  Runs in numerical order
#
# Run# Date Start_Time Ebeam I-beam Target      HMS_p  HMS_th   SHMS_p SHMS_th  PS1-6		Run_type	Comment
#------------------------------------------------------------------------------------------------------------------------------------
23881	              8.565	14   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23882	              8.565	14   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23883	              8.565	14   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23884	              8.565	14   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23885	              8.565	7    LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing	
23886	              8.565	7    LD2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23887	              8.565	7    LD2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23888	              8.565	7    LD2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23889	              8.565	7    LD2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23890	              8.565	15   Dummy 10cm	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23891	              8.565	8    Dummy 10cm	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23892	              8.565	20   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23893	              8.565	20   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23894	              8.565	20   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23895	              8.565	20   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23896	              8.565	10   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23897	              8.565	10   LD2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23898	              8.565	10   LD2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23899	              8.565	10   LD2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23900	              8.565	10   LD2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23901	              8.565	10   Dummy 10cm	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23902	              8.565	20   Dummy 10cm	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23903	              8.565	20   Dummy 10cm	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS S2Y15- missing
23904	              8.565	20   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0               	SHMS FADC lookback window adjusted, SHMS S2Y15- back 
23905	              8.565	20   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0                
23906	              8.565	20   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0                
23907	              8.565	20   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0                
23908	              8.565	10   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,-1,-1,0                
23909	              8.565	10   LH2	-1.53	29.06	-2.62	7.87	-1,-1,-1,0,-1,-1               	HMS singles
!23910	              0 	0    0		0	0	0	0	0			        Junk
23911	              8.565	10   LH2	-1.53	29.06	-2.62	7.87	-1,5,-1,-1,-1,-1               	SHMS singles
23912	              8.565	10   LH2	-1.53	29.06	-2.62	7.87	-1,7,-1,-1,-1,-1               	SHMS singles
23913	              8.565	10   LH2	-1.53	29.06	-2.62	7.87	-1,7,-1,-1,-1,-1               	SHMS singles
!23914	              0		0    0		0	0	0	0	0		               	Junk
23915	              8.565	10   LD2	-1.53	29.06	-2.62	7.87	-1,7,-1,-1,-1,-1               	SHM singles
!23916	              0		0    0		0	0	0	0	0		               	Junk
!23917	              0		0    0		0	0	0	0	0		               	Junk
23918	              8.565	10   LD2	-1.53	29.06	-2.62	7.87	-1,-1,-1,3,-1,-1               	HMS single
23919	              8.565	10   LD2	-1.53	29.06	-2.62	7.87	-1,-1,-1,2,-1,-1               	HMS singles
!23920	              0		0    0		0	0	0	0	0		               	Junk
!23921	              0		0    0		0	0	0	0	0		               	Junk
!23922	              0		0    0		0	0	0	0	0		               	Junk
!23923	              0		0    0		0	0	0	0	0		               	Junk
!23924	              0		0    0		0	0	0	0	0		               	Junk
23925	              8.565	15   Dummy 10cm	-1.53	29.06	-2.62	7.87	-1,-1,-1,1,-1,-1               	HMS singles
!23926	              0		0    0	   	0	0	0	0	0		               	Junk
!23927	              0		0    0		0	0	0	0	0		               	Junk
!23928	              0		0    0		0	0	0	0	0		               	Junk
!23929	              0		0    0		0	0	0	0	0		               	Junk
!23930	              0		0    0		0	0	0	0	0		               	Junk
!23931	              0 	0    0		0	0	0	0	0		               	Junk
!23932	              0		0    0		0	0	0	0	0		               	Junk
23933	              8.565	10   Dummy 10cm	-1.53	29.06	-2.62	7.87	-1,6,-1,-1,-1,-1               	SHMS singles

